cat_id,cat_name,artist_id,artist_name,genres,face_count,face_id,face_pitch,face_yaw,face_roll,face_gender,face_glasses,face_height,face_width,face_beard,face_moustache,face_sideburns,face_smile
pop,Pop,55Aa2cqylxrFIXC767Z865,Lil Wayne,dwn trap;hip hop;pop christmas;pop rap;rap;trap music,1,4bdfbd54-b9ba-41f3-a0c6-3b8065f13df3,0.0,-4.7,7.3,male,NoGlasses,267,267,0.3,0.1,0.1,1.0
pop,Pop,0q4NrXqJnc367PieejuROJ,Vice,,1,22770a8e-f026-4f14-b3f9-66895402518b,0.0,-16.7,6.2,male,NoGlasses,74,74,0.2,0.1,0.1,1.0
pop,Pop,50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,,1,cabd8f68-38c8-4df7-b32e-196c4555b53c,0.0,-3.8,-0.6,male,NoGlasses,200,200,0.5,0.4,0.5,0.0
pop,Pop,2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,big room;deep tropical house;edm;electro house;indie poptimism;tropical house,1,b9651546-fa91-41cb-af6e-65cb37eb79db,0.0,-31.0,3.2,male,NoGlasses,155,155,0.2,0.0,0.3,0.009
pop,Pop,45eNHdiiabvmbp4erw26rg,Illenium,bass trap;big room;brostep;edm;electro house;electronic trap;indie poptimism;tropical house,1,b487a217-b1ad-4293-bfa4-a1c86b0f16ac,0.0,11.5,-6.6,male,NoGlasses,196,196,0.3,0.0,0.0,0.001
pop,Pop,6Dd3NScHWwnW6obMFbl1BH,Daya,dance pop;pop;post-teen pop;teen pop;viral pop,1,12d216ef-1bc9-40c5-bbc9-61137a534740,0.0,-5.3,-2.9,female,NoGlasses,51,51,0.0,0.0,0.0,0.0
pop,Pop,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,dwn trap;pop rap;rap;trap music,0,,,,,,,,,,,,
pop,Pop,3AVfmawzu83sp94QW7CEGm,Astrid S,pop;post-teen pop;tropical house;viral pop,1,2dc3ffdd-b036-4f7f-9e7c-e4450c187df9,0.0,0.2,-1.6,female,NoGlasses,403,403,0.0,0.0,0.0,0.006
pop,Pop,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,dance pop;dwn trap;pop;pop christmas;pop rap;r&b;rap;soul christmas,0,,,,,,,,,,,,
pop,Pop,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,pop;tropical house,1,02c351eb-f40c-4d82-81cd-c68031a06f84,0.0,-0.2,2.9,female,NoGlasses,207,207,0.0,0.0,0.0,0.01
pop,Pop,4wO0kHiOwf8l9VMJJN9HmG,Shoffy,deep tropical house;indie poptimism;vapor soul,0,,,,,,,,,,,,
pop,Pop,4JNfz6aO9ZFz0gp5GY88am,Hey Violet,pixie;pop;pop punk;post-teen pop;teen pop,3,cd6f0b40-b5df-4805-85fd-0f936e023832,0.0,-6.3,-6.7,female,NoGlasses,104,104,0.0,0.0,0.0,0.0
pop,Pop,4JNfz6aO9ZFz0gp5GY88am,Hey Violet,pixie;pop;pop punk;post-teen pop;teen pop,3,4a13fe33-f952-4e39-97af-3ea1a2680480,0.0,5.2,17.3,female,NoGlasses,86,86,0.0,0.0,0.0,0.293
pop,Pop,4JNfz6aO9ZFz0gp5GY88am,Hey Violet,pixie;pop;pop punk;post-teen pop;teen pop,3,33f26ae9-8140-437e-9581-f0b719d48651,0.0,-5.8,-17.6,male,NoGlasses,84,84,0.0,0.0,0.0,0.035
pop,Pop,3ApUX1o6oSz321MMECyIYd,Quinn XCII,indie poptimism,0,,,,,,,,,,,,
pop,Pop,1LOB7jTeEV14pHai6EXSzF,Cash Cash,big room;dance pop;edm;electro house;electropowerpop;indie poptimism;pop;pop punk;tropical house,3,106b5323-8676-4250-8d97-583da252af08,0.0,-28.9,8.1,male,NoGlasses,101,101,0.3,0.5,0.4,0.001
pop,Pop,1LOB7jTeEV14pHai6EXSzF,Cash Cash,big room;dance pop;edm;electro house;electropowerpop;indie poptimism;pop;pop punk;tropical house,3,f1f4d664-21f7-4914-8029-3eb28f4d28c6,0.0,9.2,13.3,male,NoGlasses,86,86,0.8,0.9,0.9,0.002
